store_name,LINK_ID,lat_x,lot_x,유동인구_평균,lat_y,lot_y,일자,링크아이디,거리,차선수,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
KG타워,1010009000.0,37.563528,126.969144,24141.0,37.563528,126.969144,20210715.5,1010009000.0,501.0,4.0,28.0775,26.2125,29.1325,27.435000000000002,25.38,25.477500000000003,33.3375,29.817499999999995,23.9975,21.57,22.6725,21.1775,19.195,19.75,19.04,17.7625,17.3525,20.22,16.6975,18.3375,25.6675,27.392500000000002,29.5625,33.71
SSG마켓도곡R,1220014250.0,37.490298,127.054895,30953.0,37.490298,127.054895,20210715.5,1220014250.0,564.0,4.0,34.96875,36.125,33.1325,33.8175,35.25375,34.05,30.306250000000002,28.3425,24.982499999999998,23.685000000000002,24.65375,21.67125,21.99625,22.5575,20.796249999999997,18.243750000000002,17.60625,16.9875,16.9225,20.5325,24.05875,25.287499999999998,27.46625,32.097500000000004
가락시장역,1230009933.3333333,37.494299000000005,127.12135399999995,37909.0,37.494299000000005,127.12135399999995,20210715.5,1230009933.3333333,483.0,2.6666666666666665,27.188333333333333,26.59583333333333,26.972499999999997,27.8,27.238333333333333,27.022499999999997,24.575833333333335,20.1075,15.703333333333335,14.708333333333334,16.041666666666668,16.02583333333334,17.375833333333336,18.190833333333334,16.6825,15.975000000000001,15.370000000000005,14.966666666666667,15.003333333333336,17.551666666666666,18.47416666666666,19.3625,20.484166666666663,22.860000000000003
가재울뉴타운,1120008100.0,37.5749841,126.91644410000002,20391.0,37.5749841,126.91644410000002,20210715.5,1120008100.0,833.0,2.0,21.1525,21.924999999999997,26.145,25.8525,28.6425,21.365,16.8275,15.709999999999999,16.7925,16.9175,17.57,16.905,17.545,15.872499999999999,15.8075,16.3,15.745,16.505000000000003,15.849999999999998,16.75,15.245000000000001,16.3125,18.525,18.307499999999997
강남R,1220023400.0,37.497711,127.028439,97922.0,37.497711,127.028439,20210715.5,1220023400.0,323.0,4.0,27.705000000000002,30.0425,30.174999999999997,32.724999999999994,32.855000000000004,30.135,29.7,28.9,24.515,22.67,21.4725,21.915,23.265,22.0125,21.94,21.240000000000002,22.97,24.545,24.0925,25.470000000000002,27.2875,26.167499999999997,23.1875,25.64
강남구청역,1220031000.0,37.5165849,127.0412433,41704.0,37.5165849,127.0412433,20210715.5,1220031000.0,803.0,2.0,28.3825,26.252499999999998,31.48,35.0025,31.049999999999997,32.8675,31.307500000000005,25.130000000000003,19.8025,17.982499999999998,15.540000000000001,14.8775,14.667499999999999,13.122499999999999,12.25,12.677499999999998,11.915,11.0875,16.455,19.835,23.287499999999998,24.7125,25.03,25.177500000000002
강남구청정문,1220032833.3333333,37.518181000000006,127.04599499999996,43176.0,37.518181000000006,127.04599499999996,20210715.5,1220032833.3333333,812.0,3.0,30.576666666666668,31.076666666666664,32.95916666666667,33.25833333333333,30.95,30.141666666666666,29.90583333333333,26.97583333333333,25.990833333333327,21.223333333333333,17.93916666666667,17.9225,19.765833333333333,20.917499999999997,19.539166666666667,18.625,19.56416666666666,19.822499999999998,20.564999999999998,23.339166666666667,24.305833333333336,25.20833333333334,26.118333333333336,28.345833333333335
강남대로,1220025066.6666667,37.50314000000001,127.02554600000002,97922.0,37.50314000000001,127.02554600000002,20210715.5,1220025066.6666667,776.0,4.0,25.74416666666667,29.238333333333333,30.659166666666668,32.00083333333334,31.486666666666668,31.5975,29.669999999999998,25.298333333333336,21.273333333333337,19.291666666666668,16.951666666666664,15.2725,15.089999999999998,14.748333333333335,12.8175,10.948333333333336,11.455,12.420833333333333,12.655833333333334,13.321666666666667,18.328333333333333,19.646666666666665,18.241666666666667,23.328333333333333
강남대로논현R,1220027800.0,37.507413,127.022568,33095.0,37.507413,127.022568,20210715.5,1220027800.0,785.0,4.0,27.86,27.802500000000002,30.877499999999998,30.7925,31.0875,31.625,28.985,23.232499999999998,21.3775,21.182499999999997,20.9925,19.915,19.5525,19.535,16.8875,14.3075,13.004999999999999,13.897499999999999,12.4475,14.6525,19.599999999999998,21.097500000000004,23.619999999999997,26.3025
강남대로신사,1220030650.0,37.51489,127.01946899999999,34063.0,37.51489,127.01946899999999,20210715.5,1220030650.0,580.0,4.0,23.42875,24.06625,25.206250000000004,25.457500000000003,25.63375,29.025,28.61375,22.6075,17.627499999999998,13.232500000000002,10.552500000000002,8.69125,10.02875,9.26125,10.391250000000001,11.715,10.49875,12.272499999999999,12.715000000000002,14.99,21.275,24.483749999999997,25.06375,23.673750000000002
강남우성,1220016300.0,37.492396,127.03091,97922.0,37.492396,127.03091,20210715.5,1220016300.0,414.0,4.0,20.82,19.7675,17.3425,17.6825,18.535,26.785000000000004,28.319999999999997,22.939999999999998,15.490000000000002,10.677499999999998,8.3875,8.505,10.870000000000001,11.0725,10.4375,11.0525,12.4125,14.752500000000001,14.274999999999999,17.0625,17.88,15.855,16.57,17.6025
